domainnumber,domainname,siteid,sitename,state
D01,Northeast,BART,"Bartlett Experimental Forest","New Hampshire"
D01,Northeast,HARV,"Harvard Forest",Massachusetts
D01,Northeast,HOPB,"Lower Hop Brook",Massachusetts
D02,Mid-Atlantic,BLAN,"Blandy Experimental Farm",Virginia
D02,Mid-Atlantic,LEWI,"Lewis Run",Virginia
D02,Mid-Atlantic,POSE,"Posey Creek",Virginia
D02,Mid-Atlantic,SCBI,"Smithsonian Conservation Biology Institute",Virginia
D02,Mid-Atlantic,SERC,"Smithsonian Environmental Research Center",Maryland
D03,Southeast,BARC,"Ordway-Swisher Biological Station - Barco Lake",Florida
D03,Southeast,DSNY,"Disney Wilderness Preserve",Florida
D03,Southeast,FLNT,"Flint River",Georgia
D03,Southeast,JERC,"Jones Ecological Research Center",Georgia
D03,Southeast,OSBS,"Ordway-Swisher Biological Station",Florida
D03,Southeast,SUGG,"Ordway-Swisher Biological Station - Suggs Lake",Florida
D04,"Atlantic Neotropical",CUPE,"Rio Cupeyes","Puerto Rico"
D04,"Atlantic Neotropical",GUAN,"Guanica Forest","Puerto Rico"
D04,"Atlantic Neotropical",GUIL,"Rio Guilarte","Puerto Rico"
D04,"Atlantic Neotropical",LAJA,"Lajas Experimental Station","Puerto Rico"
D05,"Great Lakes",CRAM,"Crampton Lake",Wisconsin
D05,"Great Lakes",LIRO,"Little Rock Lake",Wisconsin
D05,"Great Lakes",STEI,"Steigerwaldt Land Services",Wisconsin
D05,"Great Lakes",TREE,Treehaven,Wisconsin
D05,"Great Lakes",UNDE,UNDERC,Michigan
D06,"Prairie Peninsula",KING,"Kings Creek",Kansas
D06,"Prairie Peninsula",KONA,"Konza Prairie Biological Station - Relocatable",Kansas
D06,"Prairie Peninsula",KONZ,"Konza Prairie Biological Station",Kansas
D06,"Prairie Peninsula",MCDI,"McDiffett Creek",Kansas
D06,"Prairie Peninsula",UKFS,"The University of Kansas Field Station",Kansas
D07,"Appalachians & Cumberland Plateau",GRSM,"Great Smoky Mountains National Park, Twin Creeks",Tennessee
D07,"Appalachians & Cumberland Plateau",LECO,"LeConte Creek",Tennessee
D07,"Appalachians & Cumberland Plateau",MLBS,"Mountain Lake Biological Station",Virginia
D07,"Appalachians & Cumberland Plateau",ORNL,"Oak Ridge",Tennessee
D07,"Appalachians & Cumberland Plateau",WALK,"Walker Branch",Tennessee
D08,"Ozarks Complex",BLWA,"Black Warrior River near Dead Lake",Alabama
D08,"Ozarks Complex",DELA,"Dead Lake",Alabama
D08,"Ozarks Complex",LENO,"Lenoir Landing",Alabama
D08,"Ozarks Complex",MAYF,"Mayfield Creek",Alabama
D08,"Ozarks Complex",TALL,"Talladega National Forest",Alabama
D08,"Ozarks Complex",TOMB,"Lower Tombigbee River at Choctaw Refuge",Alabama
D09,"Northern Plains",DCFS,"Dakota Coteau Field School","North Dakota"
D09,"Northern Plains",NOGP,"Northern Great Plains Research Laboratory","North Dakota"
D09,"Northern Plains",PRLA,"Prairie Lake at Dakota Coteau Field School","North Dakota"
D09,"Northern Plains",PRPO,"Prairie Pothole ","North Dakota"
D09,"Northern Plains",WOOD,Woodworth,"North Dakota"
